,FECHA,MUNICIPIO RESIDENCIA,CASOS
204,2020-03-26,Tlalpan,8
205,2020-03-26,Tláhuac,1
206,2020-03-26,Venustiano Carranza,4
207,2020-03-26,Álvaro Obregón,9
208,2020-03-27,Azcapotzalco,9
209,2020-03-27,Benito Juárez,5
210,2020-03-27,Coyoacán,7
211,2020-03-27,Cuajimalpa de Morelos,23
212,2020-03-27,Cuauhtémoc,4
213,2020-03-27,Gustavo A. Madero,10
214,2020-03-27,Iztacalco,12
215,2020-03-27,Iztapalapa,9
216,2020-03-27,La Magdalena Contreras,5
217,2020-03-27,Miguel Hidalgo,2
218,2020-03-27,Tlalpan,4
219,2020-03-27,Venustiano Carranza,4
220,2020-03-27,Xochimilco,6
221,2020-03-27,Álvaro Obregón,5
222,2020-03-28,Azcapotzalco,6
223,2020-03-28,Benito Juárez,7
224,2020-03-28,Coyoacán,6
225,2020-03-28,Cuajimalpa de Morelos,7
226,2020-03-28,Cuauhtémoc,6
227,2020-03-28,Gustavo A. Madero,13
228,2020-03-28,Iztacalco,7
229,2020-03-28,Iztapalapa,10
230,2020-03-28,La Magdalena Contreras,2
231,2020-03-28,Miguel Hidalgo,5
232,2020-03-28,Milpa Alta,2
233,2020-03-28,Tlalpan,3
234,2020-03-28,Tláhuac,1
235,2020-03-28,Venustiano Carranza,1
236,2020-03-28,Xochimilco,4
237,2020-03-28,Álvaro Obregón,3
238,2020-03-29,Azcapotzalco,9
239,2020-03-29,Benito Juárez,6
240,2020-03-29,Coyoacán,2
241,2020-03-29,Cuajimalpa de Morelos,24
242,2020-03-29,Cuauhtémoc,2
243,2020-03-29,Gustavo A. Madero,9
244,2020-03-29,Iztacalco,3
245,2020-03-29,Iztapalapa,6
246,2020-03-29,La Magdalena Contreras,3
247,2020-03-29,Miguel Hidalgo,2
248,2020-03-29,Milpa Alta,1
249,2020-03-29,Tlalpan,3
250,2020-03-29,Venustiano Carranza,2
251,2020-03-29,Xochimilco,6
252,2020-03-29,Álvaro Obregón,3
253,2020-03-30,Azcapotzalco,15
254,2020-03-30,Benito Juárez,3
255,2020-03-30,Coyoacán,5
256,2020-03-30,Cuajimalpa de Morelos,26
257,2020-03-30,Cuauhtémoc,7
258,2020-03-30,Gustavo A. Madero,27
259,2020-03-30,Iztacalco,14
260,2020-03-30,Iztapalapa,9
261,2020-03-30,La Magdalena Contreras,20
262,2020-03-30,Miguel Hidalgo,6
263,2020-03-30,Milpa Alta,1
264,2020-03-30,Tlalpan,10
265,2020-03-30,Tláhuac,2
266,2020-03-30,Venustiano Carranza,7
267,2020-03-30,Xochimilco,8
268,2020-03-30,Álvaro Obregón,9
269,2020-03-31,Azcapotzalco,19
270,2020-03-31,Benito Juárez,11
271,2020-03-31,Coyoacán,5
272,2020-03-31,Cuajimalpa de Morelos,38
273,2020-03-31,Cuauhtémoc,13
274,2020-03-31,Gustavo A. Madero,15
275,2020-03-31,Iztacalco,14
276,2020-03-31,Iztapalapa,6
277,2020-03-31,La Magdalena Contreras,12
278,2020-03-31,Miguel Hidalgo,5
