,FECHA,MUNICIPIO RESIDENCIA,ACUMULADO,CASOS
207,2020-03-07,Tláhuac,0.0,0.0
208,2020-03-08,Coyoacán,2.0,1.0
209,2020-03-08,Álvaro Obregón,1.0,0.0
210,2020-03-08,Tlalpan,0.0,0.0
211,2020-03-08,Iztapalapa,1.0,0.0
212,2020-03-08,Benito Juárez,0.0,0.0
213,2020-03-08,Cuajimalpa de Morelos,1.0,0.0
214,2020-03-08,Iztacalco,1.0,0.0
215,2020-03-08,Milpa Alta,0.0,0.0
216,2020-03-08,Venustiano Carranza,0.0,0.0
217,2020-03-08,Azcapotzalco,0.0,0.0
218,2020-03-08,Xochimilco,0.0,0.0
219,2020-03-08,Gustavo A. Madero,1.0,0.0
220,2020-03-08,Miguel Hidalgo,3.0,1.0
221,2020-03-08,Cuauhtémoc,0.0,0.0
222,2020-03-08,Tláhuac,0.0,0.0
223,2020-03-08,La Magdalena Contreras,0.0,0.0
224,2020-03-09,Azcapotzalco,0.0,0.0
225,2020-03-09,Venustiano Carranza,0.0,0.0
226,2020-03-09,Xochimilco,0.0,0.0
227,2020-03-09,Miguel Hidalgo,3.0,0.0
228,2020-03-09,Cuauhtémoc,0.0,0.0
229,2020-03-09,La Magdalena Contreras,0.0,0.0
230,2020-03-09,Gustavo A. Madero,1.0,0.0
231,2020-03-09,Milpa Alta,0.0,0.0
232,2020-03-09,Tláhuac,0.0,0.0
233,2020-03-09,Cuajimalpa de Morelos,1.0,0.0
234,2020-03-09,Coyoacán,2.0,0.0
235,2020-03-09,Benito Juárez,0.0,0.0
236,2020-03-09,Iztapalapa,1.0,0.0
237,2020-03-09,Tlalpan,0.0,0.0
238,2020-03-09,Álvaro Obregón,1.0,0.0
239,2020-03-09,Iztacalco,1.0,0.0
240,2020-03-10,Azcapotzalco,0.0,0.0
241,2020-03-10,Venustiano Carranza,0.0,0.0
242,2020-03-10,La Magdalena Contreras,0.0,0.0
243,2020-03-10,Milpa Alta,0.0,0.0
244,2020-03-10,Iztacalco,1.0,0.0
245,2020-03-10,Cuajimalpa de Morelos,2.0,1.0
246,2020-03-10,Iztapalapa,1.0,0.0
247,2020-03-10,Benito Juárez,2.0,2.0
248,2020-03-10,Xochimilco,0.0,0.0
249,2020-03-10,Tlalpan,2.0,2.0
250,2020-03-10,Tláhuac,0.0,0.0
251,2020-03-10,Cuauhtémoc,0.0,0.0
252,2020-03-10,Miguel Hidalgo,3.0,0.0
253,2020-03-10,Álvaro Obregón,1.0,0.0
254,2020-03-10,Coyoacán,2.0,0.0
255,2020-03-10,Gustavo A. Madero,1.0,0.0
256,2020-03-11,Venustiano Carranza,0.0,0.0
257,2020-03-11,Gustavo A. Madero,2.0,1.0
258,2020-03-11,Xochimilco,0.0,0.0
259,2020-03-11,Azcapotzalco,1.0,1.0
260,2020-03-11,La Magdalena Contreras,2.0,2.0
261,2020-03-11,Milpa Alta,0.0,0.0
262,2020-03-11,Iztacalco,1.0,0.0
263,2020-03-11,Cuajimalpa de Morelos,4.0,2.0
264,2020-03-11,Coyoacán,2.0,0.0
265,2020-03-11,Benito Juárez,5.0,3.0
266,2020-03-11,Iztapalapa,2.0,1.0
267,2020-03-11,Tlalpan,3.0,1.0
268,2020-03-11,Miguel Hidalgo,7.0,4.0
269,2020-03-11,Tláhuac,0.0,0.0
270,2020-03-11,Cuauhtémoc,1.0,1.0
271,2020-03-11,Álvaro Obregón,2.0,1.0
272,2020-03-12,Venustiano Carranza,0.0,0.0
273,2020-03-12,Iztapalapa,2.0,0.0
274,2020-03-12,Tlalpan,4.0,1.0
275,2020-03-12,Coyoacán,4.0,2.0
276,2020-03-12,Cuajimalpa de Morelos,9.0,5.0
277,2020-03-12,Iztacalco,2.0,1.0
278,2020-03-12,Milpa Alta,0.0,0.0
279,2020-03-12,La Magdalena Contreras,2.0,0.0
280,2020-03-12,Azcapotzalco,1.0,0.0
281,2020-03-12,Benito Juárez,5.0,0.0
282,2020-03-12,Gustavo A. Madero,3.0,1.0
283,2020-03-12,Xochimilco,0.0,0.0
284,2020-03-12,Tláhuac,0.0,0.0
285,2020-03-12,Álvaro Obregón,3.0,1.0
286,2020-03-12,Miguel Hidalgo,16.0,9.0
287,2020-03-12,Cuauhtémoc,1.0,0.0
288,2020-03-13,Iztapalapa,2.0,0.0
289,2020-03-13,Benito Juárez,8.0,3.0
290,2020-03-13,Coyoacán,4.0,0.0
291,2020-03-13,Cuajimalpa de Morelos,12.0,3.0
292,2020-03-13,Iztacalco,2.0,0.0
293,2020-03-13,Milpa Alta,0.0,0.0
294,2020-03-13,La Magdalena Contreras,3.0,1.0
295,2020-03-13,Azcapotzalco,1.0,0.0
296,2020-03-13,Xochimilco,2.0,2.0
297,2020-03-13,Miguel Hidalgo,25.0,9.0
298,2020-03-13,Cuauhtémoc,2.0,1.0
299,2020-03-13,Tláhuac,0.0,0.0
300,2020-03-13,Tlalpan,7.0,3.0
301,2020-03-13,Álvaro Obregón,8.0,5.0
302,2020-03-13,Venustiano Carranza,1.0,1.0
303,2020-03-13,Gustavo A. Madero,4.0,1.0
304,2020-03-14,Tláhuac,0.0,0.0
305,2020-03-14,Tlalpan,9.0,2.0
306,2020-03-14,Xochimilco,2.0,0.0
307,2020-03-14,Azcapotzalco,2.0,1.0
308,2020-03-14,Venustiano Carranza,1.0,0.0
309,2020-03-14,Milpa Alta,0.0,0.0
310,2020-03-14,Iztacalco,3.0,1.0
311,2020-03-14,Gustavo A. Madero,9.0,5.0
312,2020-03-14,La Magdalena Contreras,4.0,1.0
313,2020-03-14,Coyoacán,4.0,0.0
314,2020-03-14,Benito Juárez,10.0,2.0
315,2020-03-14,Iztapalapa,3.0,1.0
316,2020-03-14,Miguel Hidalgo,31.0,6.0
317,2020-03-14,Cuauhtémoc,2.0,0.0
318,2020-03-14,Cuajimalpa de Morelos,19.0,7.0
319,2020-03-14,Álvaro Obregón,12.0,4.0
320,2020-03-15,Azcapotzalco,2.0,0.0
321,2020-03-15,Tláhuac,0.0,0.0
322,2020-03-15,Cuauhtémoc,2.0,0.0
323,2020-03-15,Miguel Hidalgo,36.0,5.0
324,2020-03-15,Gustavo A. Madero,10.0,1.0
325,2020-03-15,Xochimilco,2.0,0.0
326,2020-03-15,Venustiano Carranza,2.0,1.0
327,2020-03-15,La Magdalena Contreras,4.0,0.0
328,2020-03-15,Iztacalco,3.0,0.0
329,2020-03-15,Cuajimalpa de Morelos,21.0,2.0
330,2020-03-15,Coyoacán,5.0,1.0
331,2020-03-15,Benito Juárez,11.0,1.0
332,2020-03-15,Iztapalapa,3.0,0.0
333,2020-03-15,Tlalpan,10.0,1.0
334,2020-03-15,Álvaro Obregón,12.0,0.0
335,2020-03-15,Milpa Alta,0.0,0.0
336,2020-03-16,Iztapalapa,3.0,0.0
337,2020-03-16,Tlalpan,11.0,1.0
338,2020-03-16,Tláhuac,0.0,0.0
