date,name,value
1943-01-01,Tlalpan,17
1943-01-01,Tlahuac,3
1943-01-01,Venustiano Carranza,8
1943-01-01,Xochimilco,14
1943-01-01,Alvaro Obregon,8
1944-01-01,Azcapotzalco,24
1944-01-01,Benito Juarez,11
1944-01-01,Coyoacan,17
1944-01-01,Cuajimalpa de Morelos,49
1944-01-01,Cuauhtemoc,13
1944-01-01,Gustavo A. Madero,21
1944-01-01,Iztacalco,17
1944-01-01,Iztapalapa,24
1944-01-01,La Magdalena Contreras,23
1944-01-01,Miguel Hidalgo,6
1944-01-01,Milpa Alta,5
1944-01-01,Tlalpan,12
1944-01-01,Tlahuac,8
1944-01-01,Venustiano Carranza,7
1944-01-01,Xochimilco,6
1944-01-01,Alvaro Obregon,16
1945-01-01,Azcapotzalco,32
1945-01-01,Benito Juarez,12
1945-01-01,Coyoacan,26
1945-01-01,Cuajimalpa de Morelos,37
1945-01-01,Cuauhtemoc,13
1945-01-01,Gustavo A. Madero,33
1945-01-01,Iztacalco,33
1945-01-01,Iztapalapa,24
1945-01-01,La Magdalena Contreras,15
1945-01-01,Miguel Hidalgo,6
1945-01-01,Milpa Alta,13
1945-01-01,Tlalpan,17
1945-01-01,Tlahuac,5
1945-01-01,Venustiano Carranza,7
1945-01-01,Xochimilco,12
1945-01-01,Alvaro Obregon,17
1946-01-01,Azcapotzalco,30
1946-01-01,Benito Juarez,11
1946-01-01,Coyoacan,25
1946-01-01,Cuajimalpa de Morelos,28
1946-01-01,Cuauhtemoc,10
1946-01-01,Gustavo A. Madero,25
1946-01-01,Iztacalco,26
1946-01-01,Iztapalapa,16
1946-01-01,La Magdalena Contreras,7
1946-01-01,Miguel Hidalgo,5
1946-01-01,Milpa Alta,2
1946-01-01,Tlalpan,16
1946-01-01,Tlahuac,2
1946-01-01,Venustiano Carranza,6
1946-01-01,Xochimilco,16
1946-01-01,Alvaro Obregon,7
1947-01-01,Azcapotzalco,31
1947-01-01,Benito Juarez,11
1947-01-01,Coyoacan,11
1947-01-01,Cuajimalpa de Morelos,44
1947-01-01,Cuauhtemoc,8
1947-01-01,Gustavo A. Madero,39
1947-01-01,Iztacalco,31
1947-01-01,Iztapalapa,17
1947-01-01,La Magdalena Contreras,8
1947-01-01,Miguel Hidalgo,9
1947-01-01,Milpa Alta,5
1947-01-01,Tlalpan,15
1947-01-01,Tlahuac,5
1947-01-01,Venustiano Carranza,6
1947-01-01,Xochimilco,10
1947-01-01,Alvaro Obregon,8
1948-01-01,Azcapotzalco,43
1948-01-01,Benito Juarez,22
1948-01-01,Coyoacan,28
1948-01-01,Cuajimalpa de Morelos,71
1948-01-01,Cuauhtemoc,22
1948-01-01,Gustavo A. Madero,62
1948-01-01,Iztacalco,70
1948-01-01,Iztapalapa,54
1948-01-01,La Magdalena Contreras,20
1948-01-01,Miguel Hidalgo,14
1948-01-01,Milpa Alta,5
1948-01-01,Tlalpan,34
1948-01-01,Tlahuac,13
1948-01-01,Venustiano Carranza,11
1948-01-01,Xochimilco,19
1948-01-01,Alvaro Obregon,16
1949-01-01,Azcapotzalco,62
1949-01-01,Benito Juarez,22
1949-01-01,Coyoacan,23
1949-01-01,Cuajimalpa de Morelos,82
1949-01-01,Cuauhtemoc,16
1949-01-01,Gustavo A. Madero,48
1949-01-01,Iztacalco,51
1949-01-01,Iztapalapa,51
1949-01-01,La Magdalena Contreras,31
1949-01-01,Miguel Hidalgo,14
1949-01-01,Milpa Alta,10
1949-01-01,Tlalpan,23
1949-01-01,Tlahuac,11
1949-01-01,Venustiano Carranza,22
1949-01-01,Xochimilco,24
1949-01-01,Alvaro Obregon,29
1950-01-01,Azcapotzalco,58
1950-01-01,Benito Juarez,16
1950-01-01,Coyoacan,30
1950-01-01,Cuajimalpa de Morelos,84
1950-01-01,Cuauhtemoc,20
1950-01-01,Gustavo A. Madero,56
1950-01-01,Iztacalco,57
1950-01-01,Iztapalapa,44
1950-01-01,La Magdalena Contreras,14
1950-01-01,Miguel Hidalgo,8
1950-01-01,Milpa Alta,8
1950-01-01,Tlalpan,22
1950-01-01,Tlahuac,10
1950-01-01,Venustiano Carranza,15
1950-01-01,Xochimilco,24
1950-01-01,Alvaro Obregon,23
1951-01-01,Azcapotzalco,53
1951-01-01,Benito Juarez,16
1951-01-01,Coyoacan,34
1951-01-01,Cuajimalpa de Morelos,89
1951-01-01,Cuauhtemoc,20
1951-01-01,Gustavo A. Madero,47
1951-01-01,Iztacalco,57
1951-01-01,Iztapalapa,62
1951-01-01,La Magdalena Contreras,12
1951-01-01,Miguel Hidalgo,9
1951-01-01,Milpa Alta,5
1951-01-01,Tlalpan,34
1951-01-01,Tlahuac,11
1951-01-01,Venustiano Carranza,10
1951-01-01,Xochimilco,19
1951-01-01,Alvaro Obregon,29
1952-01-01,Azcapotzalco,66
1952-01-01,Benito Juarez,21
1952-01-01,Coyoacan,32
1952-01-01,Cuajimalpa de Morelos,75
1952-01-01,Cuauhtemoc,23
1952-01-01,Gustavo A. Madero,75
1952-01-01,Iztacalco,50
1952-01-01,Iztapalapa,69
1952-01-01,La Magdalena Contreras,28
1952-01-01,Miguel Hidalgo,15
1952-01-01,Milpa Alta,24
1952-01-01,Tlalpan,51
1952-01-01,Tlahuac,15
1952-01-01,Venustiano Carranza,23
1952-01-01,Xochimilco,27
1952-01-01,Alvaro Obregon,30
1953-01-01,Azcapotzalco,28
1953-01-01,Benito Juarez,17
1953-01-01,Coyoacan,27
1953-01-01,Cuajimalpa de Morelos,64
1953-01-01,Cuauhtemoc,12
1953-01-01,Gustavo A. Madero,53
1953-01-01,Iztacalco,43
1953-01-01,Iztapalapa,47
1953-01-01,La Magdalena Contreras,16
1953-01-01,Miguel Hidalgo,6
1953-01-01,Milpa Alta,12
1953-01-01,Tlalpan,30
1953-01-01,Tlahuac,13
1953-01-01,Venustiano Carranza,16
1953-01-01,Xochimilco,27
1953-01-01,Alvaro Obregon,13
1954-01-01,Azcapotzalco,27
1954-01-01,Benito Juarez,16
1954-01-01,Coyoacan,24
1954-01-01,Cuajimalpa de Morelos,57
1954-01-01,Cuauhtemoc,6
1954-01-01,Gustavo A. Madero,46
1954-01-01,Iztacalco,39
1954-01-01,Iztapalapa,65
1954-01-01,La Magdalena Contreras,18
1954-01-01,Miguel Hidalgo,10
1954-01-01,Milpa Alta,7
1954-01-01,Tlalpan,23
1954-01-01,Tlahuac,11
1954-01-01,Venustiano Carranza,11
1954-01-01,Xochimilco,16
1954-01-01,Alvaro Obregon,14
1955-01-01,Azcapotzalco,58
1955-01-01,Benito Juarez,27
1955-01-01,Coyoacan,42
1955-01-01,Cuajimalpa de Morelos,114
1955-01-01,Cuauhtemoc,30
1955-01-01,Gustavo A. Madero,94
1955-01-01,Iztacalco,82
1955-01-01,Iztapalapa,111
1955-01-01,La Magdalena Contreras,18
1955-01-01,Miguel Hidalgo,22
1955-01-01,Milpa Alta,25
1955-01-01,Tlalpan,53
1955-01-01,Tlahuac,24
1955-01-01,Venustiano Carranza,28
1955-01-01,Xochimilco,55
1955-01-01,Alvaro Obregon,25
1956-01-01,Azcapotzalco,74
1956-01-01,Benito Juarez,18
1956-01-01,Coyoacan,40
1956-01-01,Cuajimalpa de Morelos,106
1956-01-01,Cuauhtemoc,29
1956-01-01,Gustavo A. Madero,113
1956-01-01,Iztacalco,53
1956-01-01,Iztapalapa,98
1956-01-01,La Magdalena Contreras,22
1956-01-01,Miguel Hidalgo,26
1956-01-01,Milpa Alta,17
1956-01-01,Tlalpan,60
1956-01-01,Tlahuac,24
1956-01-01,Venustiano Carranza,28
1956-01-01,Xochimilco,42
1956-01-01,Alvaro Obregon,33
1957-01-01,Azcapotzalco,53
